iter	TotalF1	MultiClass
0	0.6070850448	2.216926991
1	0.6418368367	2.029497807
2	0.6679146896	1.885123054
3	0.6739130137	1.760718743
4	0.6947262268	1.662138996
5	0.7221915002	1.572961066
6	0.7246395614	1.49189358
7	0.7310695746	1.42287269
8	0.7363390773	1.356898016
9	0.7376792212	1.302237679
10	0.7402464778	1.251558619
11	0.7466621463	1.205864602
12	0.7477421123	1.16155719
13	0.7495726298	1.121763562
14	0.7527082294	1.085640669
15	0.7515941642	1.052910525
16	0.75283639	1.019827541
17	0.7561568874	0.9901882634
18	0.7603862373	0.9636481338
19	0.7607228486	0.9372854501
20	0.7644006949	0.9134469452
21	0.7639261286	0.893307558
22	0.7706601386	0.8726660855
23	0.7711450042	0.8536879444
24	0.7729320357	0.8363838016
25	0.7752021873	0.8170879787
26	0.7758085527	0.7990640539
27	0.7771548394	0.7831960435
28	0.7792609207	0.7676042848
29	0.7786298288	0.7535338792
30	0.7808354062	0.7388555452
31	0.7821892086	0.725440363
32	0.7846173897	0.7139275344
33	0.7855472822	0.7030741814
34	0.7864986978	0.6941150678
35	0.7899712061	0.6838102007
36	0.7899613458	0.6737920662
37	0.7916356911	0.6649538927
38	0.7931794605	0.656602629
39	0.7954022544	0.6478368992
40	0.7978240465	0.6395155856
41	0.7976084021	0.6313297439
42	0.7984407312	0.6234193721
43	0.8012194637	0.6157148903
44	0.8023212281	0.6091438781
45	0.8061363332	0.6023392354
46	0.8068691534	0.5955504308
47	0.8089231899	0.5889919425
48	0.8105426327	0.58255856
49	0.810331028	0.5772054248
50	0.8103767969	0.5719043928
51	0.8108286537	0.5669858242
52	0.813691706	0.5613282222
53	0.8160909552	0.5565356753
54	0.8170988439	0.5520807599
55	0.8181949876	0.5480128312
56	0.8185887579	0.5437569533
57	0.8187256666	0.5399374919
58	0.8197816013	0.5354950856
59	0.8215683399	0.5316099296
60	0.8212570531	0.527159712
61	0.8216769369	0.5230564511
62	0.8227058004	0.5198880467
63	0.8234093036	0.5162236529
64	0.8249322444	0.5125473567
65	0.8257589979	0.5087933754
66	0.8271056749	0.5056065521
67	0.8276075798	0.5021478964
68	0.8285921275	0.4988762194
69	0.8295228332	0.4961207788
70	0.8319207204	0.4931787314
71	0.8320181923	0.4904298019
72	0.8335259198	0.4880257862
73	0.8332663981	0.4853837377
74	0.8344743569	0.4826969364
75	0.8347407816	0.4801156065
76	0.835346308	0.4774835577
77	0.8362909194	0.4756502241
78	0.8359012801	0.4733423213
79	0.837302749	0.4709354169
80	0.8379984915	0.4691075288
81	0.8386979605	0.4668486376
82	0.8401686088	0.4645122604
83	0.8402355884	0.4626161002
84	0.8412334795	0.4601909924
85	0.8415971485	0.4578635096
86	0.843202646	0.4557604638
87	0.8439720943	0.4544408842
88	0.843973549	0.4525095479
89	0.8440869909	0.4507224625
90	0.8452491197	0.4490130005
91	0.845542796	0.4468588399
92	0.8469375975	0.4449893715
93	0.8468343401	0.4434204951
94	0.8469416014	0.4420540418
95	0.8482026575	0.4402135544
96	0.8491287613	0.4387719356
97	0.8498744954	0.4375082509
98	0.849415958	0.4360075975
99	0.8496221683	0.4345457928
100	0.8489064255	0.4331313356
101	0.8496255639	0.431675229
102	0.8499380774	0.429715731
103	0.8503891329	0.4282613512
104	0.8503351309	0.4264135098
105	0.8514742516	0.4251254846
106	0.8520428355	0.4235314369
107	0.8518497219	0.4222913435
108	0.8533441711	0.4207343201
109	0.8538116049	0.4194483169
110	0.8539526835	0.4179084288
111	0.8539473948	0.4164217065
112	0.8546883799	0.415192821
113	0.8550477399	0.4139451996
114	0.855755185	0.4128701408
115	0.8551223539	0.4117669087
116	0.8561212828	0.4105557518
117	0.8575130536	0.4093685561
118	0.8572973955	0.4083180852
119	0.857797485	0.407519609
120	0.8573610398	0.4062486176
121	0.8584853087	0.4050944179
122	0.8594848213	0.4039150995
123	0.8601484547	0.4028918433
124	0.8603714815	0.4018724097
