iter	Passed	Remaining
0	147	739703
1	221	554031
2	294	490506
3	377	471133
4	462	462334
5	531	442328
6	623	444954
7	701	437933
8	778	431454
9	889	443731
10	971	440708
11	1045	434377
12	1122	430724
13	1198	426859
14	1303	433127
15	1407	438529
16	1486	435822
17	1561	432198
18	1641	430461
19	1717	427779
20	1796	425986
21	1879	425213
22	1954	422882
23	2037	422426
24	2112	420417
25	2188	418654
26	2267	417619
27	2336	414926
28	2412	413515
29	2493	413110
30	2562	410810
31	2632	408641
32	2697	406022
33	2764	403799
34	2830	401571
35	2892	398830
36	2953	396121
37	3018	394113
38	3080	391898
39	3145	390044
40	3211	388482
41	3278	387005
42	3439	396546
43	3529	397513
44	3592	395535
45	3653	393463
46	3716	391657
47	3781	390083
48	3843	388359
49	3915	387609
50	3982	386477
51	4046	384997
52	4125	385099
53	4189	383718
54	4250	382177
55	4313	380795
56	4372	379190
57	4435	377901
58	4499	376822
59	4561	375533
60	4623	374325
61	4685	373203
62	4753	372513
63	4818	371606
64	4883	370759
65	4947	369876
66	5011	368969
67	5074	368034
68	5145	367720
69	5204	366572
70	5266	365602
71	5328	364724
72	5387	363592
73	5447	362616
74	5601	367831
75	5663	366930
76	5723	365930
77	5783	364965
78	5843	364012
79	5901	362959
80	5963	362130
81	6023	361252
82	6082	360343
83	6142	359479
84	6199	358499
85	6258	357595
86	6318	356816
87	6376	355931
88	6437	355205
89	6497	354469
90	6561	353955
91	6622	353280
92	6683	352647
93	6746	352096
94	6804	351346
95	6864	350675
96	6926	350134
97	6987	349512
98	7048	348936
99	7111	348470
100	7171	347870
101	7232	347291
102	7295	346841
103	7355	346253
104	7413	345613
105	7475	345131
106	7539	344754
107	7598	344182
108	7657	343601
109	7718	343104
110	7779	342652
111	7838	342087
112	7898	341604
113	7960	341166
114	8017	340589
115	8081	340270
116	8144	339917
117	8203	339404
118	8263	338948
119	8322	338454
120	8380	337932
121	8440	337471
122	8499	337017
123	8560	336630
124	8619	336176
125	8680	335794
126	8742	335454
127	8805	335152
128	8864	334722
129	8924	334328
130	8985	333986
131	9043	333524
132	9104	333187
133	9168	332949
134	9227	332514
135	9367	335035
136	9448	335391
137	9509	335046
138	9571	334720
139	9635	334488
140	9700	334281
141	9766	334117
142	9838	334168
143	9911	334250
144	9977	334075
145	10036	333695
146	10100	333454
147	10161	333145
148	10226	332930
149	10284	332526
150	10343	332156
151	10401	331768
152	10462	331444
153	10522	331122
154	10585	330887
155	10647	330624
156	10709	330362
157	10775	330234
158	10837	329976
159	10899	329710
160	10962	329478
161	11021	329150
162	11084	328938
163	11159	329066
164	11239	329361
165	11298	329024
166	11356	328672
167	11416	328360
168	11477	328095
169	11649	330984
170	11726	331166
171	11793	331033
172	11853	330728
173	11910	330354
174	11972	330108
175	12031	329759
176	12089	329414
177	12154	329274
178	12236	329576
179	12425	332716
180	12579	334918
181	12680	335678
182	12779	336394
183	12887	337322
184	12982	337906
185	13069	338262
186	13279	341776
187	13361	342002
188	13444	342225
189	13532	342583
190	13606	342573
191	13692	342884
192	13786	343386
193	13866	343520
194	13965	344134
195	14053	344465
196	14134	344605
197	14209	344611
198	14292	344811
199	14368	344848
200	14457	345191
201	14529	345112
202	14614	345350
203	14701	345634
204	14782	345761
205	14876	346209
206	14978	346813
207	15068	347150
208	15140	347078
209	15213	347009
210	15296	347177
211	15374	347228
212	15446	347137
213	15523	347183
214	15598	347167
215	15674	347163
216	15744	347032
217	15817	346978
218	15899	347107
219	15970	346995
220	16044	346943
221	16149	347582
222	16260	348330
223	16357	348764
224	16456	349235
225	16528	349151
226	16600	349050
227	16668	348871
228	16740	348769
229	16807	348568
230	16880	348506
231	16953	348420
232	17086	349570
233	17168	349682
234	17246	349703
235	17327	349780
236	17451	350721
237	17535	350848
238	17607	350752
239	17685	350760
240	17758	350671
241	17829	350538
242	17905	350511
243	18002	350898
244	18374	356611
245	18463	356812
246	18562	357195
247	18642	357212
248	18718	357147
249	18802	357241
250	18895	357518
251	18973	357490
252	19058	357586
253	19131	357464
254	19207	357416
255	19284	357357
256	19357	357243
257	19430	357126
258	19509	357120
259	19584	357036
260	19657	356917
261	19727	356757
262	19798	356591
263	19871	356491
264	19948	356443
265	20042	356693
266	20124	356738
267	20204	356742
268	20301	357048
269	20378	357001
270	20456	356966
271	20531	356883
272	20607	356812
273	20679	356676
274	20743	356413
275	20815	356284
276	20887	356149
277	20959	356012
278	21022	355725
279	21093	355584
280	21157	355302
281	21221	355049
282	21291	354886
283	21356	354645
284	21421	354388
285	21506	354474
286	21606	354807
287	21681	354732
288	21749	354536
289	21825	354477
290	21910	354561
291	22003	354760
292	22095	354958
293	22180	355037
294	22266	355132
295	22345	355116
296	22430	355194
297	22525	355417
298	22627	355755
299	22714	355867
300	22798	355906
301	22911	356424
302	22984	356304
303	23057	356178
304	23245	357829
305	23321	357747
306	23392	357594
307	23472	357573
308	23548	357498
309	23623	357398
310	23721	357651
311	23808	357742
312	23897	357854
313	24003	358213
314	24124	358799
315	24226	359097
316	24325	359353
317	24405	359324
318	24488	359338
319	24569	359335
320	24652	359348
321	24724	359190
322	24795	359042
323	24860	358792
324	24934	358666
325	25002	358465
326	25073	358312
327	25149	358223
328	25215	357995
329	25286	357844
330	25358	357693
331	25429	357549
332	25503	357430
333	25575	357290
334	25645	357116
335	25723	357062
336	25800	356994
337	25877	356928
338	25958	356914
339	26026	356717
340	26100	356600
341	26170	356433
342	26242	356294
343	26322	356275
344	26398	356189
345	26475	356118
346	26557	356118
347	26654	356309
348	26756	356574
349	26845	356661
350	26930	356696
351	27003	356565
352	27082	356521
353	27154	356379
354	27236	356374
355	27311	356277
356	27380	356106
357	27457	356023
358	27550	356164
359	27638	356224
360	27743	356519
361	27836	356643
362	27907	356488
363	27974	356286
364	28042	356106
365	28117	355999
366	28189	355858
367	28263	355745
368	28332	355570
369	28397	355357
370	28470	355230
371	28551	355210
372	28625	355097
373	28699	354981
374	28772	354865
375	28845	354742
376	28942	354907
377	29019	354837
378	29092	354718
379	29192	354922
380	29296	355168
381	29390	355300
382	29495	355560
383	29570	355467
384	29640	355300
385	29715	355203
386	29785	355036
387	29857	354901
388	29927	354743
389	29992	354523
390	30066	354410
391	30133	354224
392	30197	353998
393	30268	353851
394	30334	353648
395	30402	353468
396	30472	353313
397	30542	353153
398	30612	353001
399	30681	352837
400	30757	352757
401	30965	354179
402	31031	353975
403	31100	353803
404	31170	353652
405	31243	353527
406	31313	353372
407	31379	353175
408	31439	352906
409	31500	352655
410	31564	352427
411	31628	352213
412	31689	351961
413	31757	351787
414	31824	351605
415	31890	351406
416	31955	351208
417	32019	350983
418	32080	350736
419	32142	350506
420	32207	350300
421	32271	350088
422	32330	349831
423	32396	349642
424	32458	349408
425	32527	349246
426	32600	349134
427	32683	349135
428	32774	349208
429	32854	349179
430	32929	349083
431	33000	348945
432	33068	348787
433	33133	348594
434	33195	348364
435	33259	348155
436	33320	347923
437	33387	347747
438	33452	347550
439	33510	347288
440	33568	347028
441	33626	346759
442	33683	346489
443	33747	346290
444	33808	346061
445	33871	345852
446	33934	345642
447	33998	345450
448	34066	345289
449	34124	345037
450	34191	344876
451	34268	344804
452	34326	344552
453	34389	344344
454	34453	344151
455	34526	344056
456	34589	343848
457	34654	343665
458	34719	343483
459	34782	343292
460	34849	343129
461	34913	342935
462	34975	342725
463	35038	342531
464	35100	342321
465	35161	342104
466	35223	341898
467	35284	341684
468	35371	341727
469	35459	341773
470	35536	341704
471	35605	341570
472	35679	341486
473	35768	341538
474	35840	341432
475	35925	341440
476	36039	341729
477	36127	341775
478	36299	342610
479	36386	342635
480	36465	342589
481	36532	342433
482	36596	342248
483	36657	342031
484	36715	341791
485	36771	341539
486	36833	341333
487	36898	341157
488	36962	340980
489	37030	340831
490	37100	340705
491	37160	340490
492	37221	340280
493	37281	340064
494	37338	339818
495	37397	339594
496	37453	339339
497	37513	339125
498	37579	338972
499	37644	338804
500	37711	338653
501	37773	338454
502	37832	338236
503	37891	338012
504	37954	337835
505	38014	337625
506	38075	337419
507	38137	337232
508	38200	337047
509	38258	336828
510	38321	336646
511	38376	336394
512	38447	336281
513	38534	336310
514	38599	336149
515	38665	336002
516	38728	335825
517	38799	335715
518	38859	335508
519	38920	335314
520	38987	335175
521	39051	335007
522	39121	334885
523	39183	334708
524	39244	334515
525	39302	334294
526	39359	334066
527	39414	333827
528	39481	333692
529	39796	335646
530	39957	336289
531	40114	336898
532	40255	337371
533	40380	337717
534	40502	338022
535	40621	338306
536	40750	338674
537	40834	338669
538	40938	338828
539	41059	339121
540	41188	339480
541	41333	339974
542	41401	339824
543	41461	339617
544	41520	339398
545	41582	339210
546	41644	339020
547	41705	338820
548	41764	338607
549	41824	338401
550	41885	338196
551	41943	337980
552	42004	337780
553	42065	337583
554	42131	337434
555	42195	337256
556	42257	337077
557	42316	336866
558	42376	336660
559	42469	336724
560	42656	337526
561	42719	337348
562	42789	337223
563	42853	337056
564	42914	336858
565	42972	336642
566	43031	336436
567	43095	336264
568	43157	336078
569	43224	335941
570	43290	335784
571	43352	335599
572	43412	335403
573	43472	335206
574	43533	335016
575	43593	334819
576	43659	334668
577	43727	334536
578	43791	334374
579	43859	334236
580	43919	334044
581	43983	333879
582	44048	333724
583	44113	333571
584	44174	333384
585	44235	333198
586	44296	333018
587	44359	332850
588	44419	332653
589	44478	332457
590	44540	332281
591	44599	332088
592	44660	331905
593	44719	331704
594	44779	331520
595	44842	331354
596	44904	331180
597	44967	331018
598	45031	330856
599	45093	330688
600	45154	330509
601	45212	330303
602	45274	330137
603	45336	329965
604	45398	329797
605	45456	329599
606	45517	329420
607	45581	329267
608	45641	329082
609	45699	328887
610	45758	328694
611	45820	328528
612	45883	328372
613	45943	328191
614	46000	327987
615	46058	327793
616	46114	327583
617	46170	327377
618	46230	327195
619	46288	327005
620	46352	326857
621	46411	326668
622	46468	326474
623	46529	326304
624	46584	326093
625	46641	325896
626	46700	325709
627	46757	325512
628	46814	325319
629	46873	325139
630	46927	324924
631	47003	324861
632	47075	324770
633	47135	324592
634	47200	324458
635	47268	324339
636	47437	324912
637	47501	324769
638	47583	324741
639	47693	324909
640	47771	324863
641	47843	324769
642	47913	324666
643	47976	324514
644	48045	324397
645	48121	324339
646	48199	324283
647	48281	324261
648	48356	324187
649	48423	324067
650	48496	323983
651	48566	323875
652	48635	323764
653	48720	323761
654	48793	323678
655	48868	323608
656	48936	323490
657	49014	323433
658	49088	323355
659	49157	323248
660	49229	323156
661	49328	323240
662	49449	323470
663	49536	323479
664	49711	324058
665	49790	324012
666	49857	323889
667	49933	323819
668	50030	323887
669	50101	323789
670	50188	323796
671	50268	323755
672	50354	323748
673	50438	323735
674	50530	323770
675	50617	323773
676	50703	323769
677	50792	323782
678	50878	323777
679	50961	323758
680	51054	323794
681	51135	323760
682	51243	323894
683	51368	324129
684	51457	324144
685	51537	324098
686	51787	325124
687	51901	325287
688	52006	325398
689	52097	325417
690	52186	325428
691	52436	326442
692	52503	326311
693	52580	326239
694	52653	326150
695	52723	326038
696	52803	325990
697	52884	325946
698	52981	325999
699	53050	325880
700	53114	325735
701	53187	325638
702	53273	325628
703	53346	325536
704	53447	325611
705	53552	325714
706	53629	325648
707	53703	325556
708	53785	325521
709	53862	325451
710	53971	325574
711	54049	325514
712	54127	325447
713	54202	325365
714	54274	325270
715	54343	325149
716	54427	325124
717	54505	325060
718	54577	324957
719	54645	324835
720	54717	324740
721	54789	324641
722	54853	324491
723	54913	324325
724	54983	324214
725	55050	324082
726	55117	323957
727	55183	323825
728	55252	323707
729	55319	323583
730	55385	323450
731	55447	323293
732	55520	323199
733	55609	323202
734	55683	323117
735	55754	323011
736	55834	322962
737	55902	322841
738	55975	322746
739	56041	322615
740	56108	322491
741	56185	322422
742	56263	322363
743	56340	322290
744	56410	322181
745	56477	322060
746	56545	321938
747	56608	321790
748	56676	321672
749	56752	321599
750	56818	321469
751	56888	321359
752	56963	321280
753	57031	321163
754	57106	321082
755	57169	320936
756	57234	320801
757	57299	320663
758	57367	320544
759	57436	320433
760	57499	320289
761	57566	320163
762	57629	320022
763	57692	319874
764	57785	319895
765	57871	319879
766	58032	320278
767	58116	320243
768	58184	320125
769	58247	319985
770	58310	319839
771	58372	319689
772	58446	319605
773	58523	319535
774	58587	319397
775	58657	319290
776	58736	319234
777	58819	319197
778	58887	319081
779	58953	318953
780	59018	318819
781	59083	318689
782	59148	318555
783	59229	318511
784	59310	318464
785	59386	318389
786	59453	318269
787	59524	318167
788	59598	318086
789	59667	317973
790	59732	317844
791	59796	317705
792	59865	317598
793	59936	317496
794	60023	317484
795	60102	317423
796	60173	317327
797	60240	317204
798	60308	317088
799	60378	316985
800	60454	316916
801	60522	316801
802	60588	316673
803	60656	316559
804	60726	316454
805	60790	316323
806	60856	316195
807	60922	316073
808	60987	315945
809	61071	315914
810	61134	315774
811	61205	315673
812	61296	315680
813	61491	316218
814	61561	316116
815	61626	315988
816	61694	315872
817	61768	315791
818	61850	315746
819	61917	315628
820	61982	315498
821	62053	315402
822	62119	315277
823	62181	315134
824	62246	315005
825	62313	314884
826	62376	314751
827	62443	314628
828	62509	314510
829	62576	314388
830	62641	314264
831	62713	314168
832	62790	314103
833	62943	314414
834	63016	314328
835	63083	314208
836	63155	314115
837	63224	314010
838	63292	313896
839	63357	313768
840	63432	313691
841	63492	313538
842	63553	313397
843	63621	313282
844	63687	313162
845	63758	313066
846	63825	312947
847	63895	312845
848	63961	312725
849	64028	312608
850	64091	312474
851	64156	312347
852	64222	312226
853	64289	312110
854	64359	312011
855	64423	311881
856	64501	311817
857	64582	311770
858	64658	311699
859	64735	311632
860	64805	311534
861	64870	311408
862	64938	311297
863	65007	311191
864	65080	311106
865	65249	311477
866	65314	311356
867	65379	311228
868	65439	311083
869	65498	310930
870	65563	310804
871	65629	310686
872	65693	310559
873	65762	310454
874	65825	310317
875	65890	310195
876	65954	310070
877	66020	309952
878	66095	309875
879	66164	309769
880	66237	309684
881	66297	309539
882	66364	309424
883	66425	309283
884	66492	309171
885	66554	309035
886	66618	308909
887	66684	308790
888	66750	308673
889	66818	308567
890	66880	308431
891	66943	308302
892	67003	308157
893	67066	308026
894	67131	307907
895	67199	307795
896	67264	307677
897	67327	307546
898	67392	307427
899	67460	307320
900	67522	307187
901	67589	307074
902	67656	306962
903	67723	306854
904	67791	306747
905	67854	306618
906	67918	306493
907	67985	306381
908	68045	306241
909	68106	306105
910	68171	305987
911	68238	305875
912	68304	305761
913	68372	305656
914	68442	305558
915	68505	305433
916	68578	305350
917	68638	305211
918	68701	305084
919	68766	304962
920	68831	304847
921	68901	304749
922	68963	304621
923	69028	304504
924	69094	304389
925	69166	304304
926	69256	304293
927	69337	304246
928	69416	304193
929	69495	304137
930	69559	304013
931	69625	303901
932	69803	304278
933	69867	304154
934	69927	304017
935	69986	303871
936	70048	303743
937	70114	303631
938	70178	303507
939	70247	303407
940	70314	303301
941	70380	303190
942	70449	303089
943	70521	303005
944	70584	302879
945	70648	302757
946	70717	302659
947	70780	302532
948	70846	302422
949	70915	302323
950	70979	302203
951	71039	302068
952	71101	301939
953	71169	301835
954	71236	301727
955	71303	301624
956	71367	301501
957	71434	301394
958	71498	301277
959	71562	301157
960	71626	301038
961	71690	300919
962	71750	300786
963	71814	300667
964	71881	300560
965	71939	300417
966	72001	300289
967	72064	300168
968	72123	300030
969	72183	299895
970	72242	299755
971	72303	299626
972	72361	299487
973	72423	299361
974	72485	299236
975	72549	299117
976	72608	298982
977	72667	298841
978	72741	298766
979	72821	298716
980	72883	298590
981	72946	298470
982	73013	298368
983	73079	298258
984	73147	298159
985	73213	298053
986	73371	298318
987	73471	298345
988	73540	298249
989	73601	298124
990	73666	298009
991	73724	297871
992	73787	297750
993	73861	297673
994	73923	297552
995	73987	297435
996	74052	297325
997	74115	297203
998	74178	297086
999	74242	296970
1000	74302	296838
1001	74366	296724
1002	74426	296594
1003	74486	296460
1004	74545	296328
1005	74606	296199
1006	74632	295937
1007	74692	295805
1008	74751	295670
1009	74814	295554
1010	74877	295438
1011	74939	295315
1012	74996	295174
1013	75057	295049
1014	75124	294945
1015	75189	294837
1016	75257	294739
1017	75317	294611
1018	75383	294507
1019	75444	294382
1020	75505	294258
1021	75571	294151
1022	75630	294019
1023	75692	293898
1024	75758	293795
1025	75822	293684
1026	75886	293571
1027	75947	293447
1028	76008	293324
1029	76071	293209
1030	76136	293098
1031	76197	292975
1032	76256	292847
1033	76316	292718
1034	76382	292613
